age,identifier,region,image_filename,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M609,VISp,M609_s050_VISp.tif,126569467,3910042.4028919404,13821120,6595140
adult,M609,VISp,M609_s051_VISp.tif,325123650,9179566.24320963,9020440,3593700
adult,M609,VISp,M609_s052_VISp.tif,366739857,7266215.301047614,8882640,4325760
adult,M609,VISp,M609_s053_VISp.tif,429504569,9906802.861860735,7925280,3987560
adult,M609,VISp,M609_s055_VISp.tif,306969483,10638111.863814801,8187762,3576121
adult,M609,VISp,M609_s056_VISp.tif,307878965,7277603.93378615,5928342,2754642
adult,M609,VISp,M609_s057_VISp.tif,349682579,7781645.5084853005,6302662,2899340
adult,M609,VISp,M609_s058_VISp.tif,301833456,6934917.664606602,6302621,2518141
adult,M609,VISpm,M609_s010_VISpm.tif,4271358,179194.24174950476,2557940,999043
adult,M609,VISpm,M609_s011_VISpm.tif,2089367,120076.24829878012,1036000,579200
adult,M609,VISpm,M609_s012_VISpm.tif,9265634,268898.500663119,1483620,1057680
adult,M609,VISpm,M609_s013_VISpm.tif,8992336,259754.0615666027,1976000,1356800
adult,M609,VISpm,M609_s020_VISpm.tif,3469118,109654.94084548982,1278400,726000
adult,M609,VISrl,M609_s001_VISrl.tif,22647287,455792.7440930386,1902240,715180
adult,M609,VISrl,M609_s007_VISrl.tif,7519047,245946.3549541785,2308460,1053540
adult,M610,RSPagl,M610_s001_RSPagl.tif,7262886,191646.4792797521,1187160,910840
adult,M610,RSPagl,M610_s002_RSPagl.tif,8860909,222274.6108264367,1279200,952000
adult,M610,RSPagl,M610_s003_RSPagl.tif,12559963,278825.8780965327,1111060,854060
adult,M610,RSPagl,M610_s004_RSPagl.tif,15732142,307724.2040621459,1192800,832800
adult,M610,RSPagl,M610_s005_RSPagl.tif,19982463,381193.41087475437,1092000,810800
