age,identifier,region,image_filename,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M609,VISl,M609_s047_VISl.tif,54669479,16579125.200437294,1866240,961600
adult,M609,VISl,M609_s048_VISl.tif,80613616,24730236.43454847,2408000,1335600
adult,M609,VISl,M609_s050_VISl.tif,24211638,7599308.513159256,2664000,1256000
adult,M609,VISli,M609_s033_VISli.tif,8005010,2463339.605823238,1988000,888800
adult,M609,VISli,M609_s040_VISli.tif,23514399,7133462.388468092,1591680,619720
adult,M609,VISli,M609_s046_VISli.tif,17900380,5239108.056310158,1579860,602040
adult,M609,VISli,M609_s047_VISli.tif,25684240,7925264.791571093,956840,465040
adult,M609,VISli,M609_s048_VISli.tif,40993747,12260364.912570177,1786400,767600
adult,M609,VISli,M609_s050_VISli.tif,11524661,3394962.381569505,1732400,627600
adult,M609,VISli,M609_s051_VISli.tif,34091900,10653601.518630145,896720,406020
adult,M609,VISli,M609_s052_VISli.tif,36796531,11567524.64306655,814740,421720
adult,M609,VISli,M609_s053_VISli.tif,45009364,14525066.880035538,636000,355600
adult,M609,VISp,M609_s007_VISp.tif,32270059,9814231.083181951,4696260,3844320
adult,M609,VISp,M609_s008_VISp.tif,30438451,10143493.24348172,5679480,3976480
adult,M609,VISp,M609_s009_VISp.tif,98531910,28561718.667087495,6425800,4572920
adult,M609,VISp,M609_s010_VISp.tif,46270182,14242587.094588973,7356840,5085515
adult,M609,VISp,M609_s011_VISp.tif,141619697,36345592.107753776,9284100,6793820
adult,M609,VISp,M609_s012_VISp.tif,80041199,23022938.778811447,9500440,6468660
adult,M609,VISp,M609_s013_VISp.tif,116579353,32049035.757196292,8811560,5384820
adult,M609,VISp,M609_s014_VISp.tif,121844917,31458360.760009285,9422420,6552040
adult,M609,VISp,M609_s015_VISp.tif,55293172,17466178.60703522,4081700,2867580
adult,M609,VISp,M609_s017_VISp.tif,77435069,22493105.238598593,8547120,5968760
adult,M609,VISp,M609_s018_VISp.tif,43986679,13495097.34250196,7332120,4619220
adult,M609,VISp,M609_s019_VISp.tif,124965953,33256856.32864458,8896560,4647520
adult,M609,VISp,M609_s020_VISp.tif,119797223,32280393.170333203,10301680,5684860
adult,M609,VISp,M609_s021_VISp.tif,100057882,27439859.283942014,10534680,6056780
adult,M609,VISp,M609_s022_VISp.tif,128674029,34340358.81131745,9297640,5614320
adult,M609,VISp,M609_s023_VISp.tif,115512383,31459192.18928175,10873200,5618640
adult,M609,VISp,M609_s024_VISp.tif,84305667,23047588.529243957,9465120,5869920
adult,M609,VISp,M609_s025_VISp.tif,96058168,25904583.640176296,11193840,5942780
adult,M609,VISp,M609_s026_VISp.tif,114384839,31217621.51929374,11861920,6295580
adult,M609,VISp,M609_s027_VISp.tif,72509762,20842357.002307717,11644320,5863420
adult,M609,VISp,M609_s028_VISp.tif,81121388,23827778.39006141,13157480,6723200
adult,M609,VISp,M609_s029_VISp.tif,89573491,24260818.15663261,10870200,6454480
adult,M609,VISp,M609_s030_VISp.tif,101336706,27575014.649117872,13213200,6672540
adult,M609,VISp,M609_s031_VISp.tif,82674429,22602920.653803635,14585340,7834284
adult,M609,VISp,M609_s032_VISp.tif,56676452,16740199.28954762,14402880,7197960
adult,M609,VISp,M609_s033_VISp.tif,66113413,20067546.745206308,11163820,5592220
adult,M609,VISp,M609_s034_VISp.tif,91912136,27487866.554230336,19282720,7276960
adult,M609,VISp,M609_s035_VISp.tif,76999370,23040257.735418793,11584680,5486180
adult,M609,VISp,M609_s036_VISp.tif,189171298,58721540.63565033,11066860,5160720
adult,M609,VISp,M609_s037_VISp.tif,402239542,119352276.86234531,13175000,5521460
adult,M609,VISp,M609_s038_VISp.tif,151493274,44229357.01399249,14290360,6034020
adult,M609,VISp,M609_s039_VISp.tif,112993682,34915132.519853316,11557080,5577880
adult,M609,VISp,M609_s040_VISp.tif,170060138,55250904.64524974,7815580,3686260
adult,M609,VISp,M609_s041_VISp.tif,636478794,189371346.1263342,16624300,6697540
adult,M609,VISp,M609_s042_VISp.tif,463943989,142704160.47052267,9507520,4392600
adult,M609,VISp,M609_s043_VISp.tif,69217900,20802200.58664793,10789160,5763280
adult,M609,VISp,M609_s044_VISp.tif,139501590,41194449.87831676,14339900,5887640
adult,M609,VISp,M609_s045_VISp.tif,74701291,22421426.698545553,10548480,4488820
adult,M609,VISp,M609_s046_VISp.tif,123584744,37497592.96945479,7860060,4116060
adult,M609,VISp,M609_s047_VISp.tif,286531842,84578305.08411735,12262800,4771060
adult,M609,VISp,M609_s048_VISp.tif,339579771,99119108.85418278,10713600,6242800
adult,M609,VISp,M609_s049_VISp.tif,351527021,110714880.29427734,8468817,3761198
adult,M609,VISp,M609_s050_VISp.tif,126569467,37960584.55572099,13821120,6595140
adult,M609,VISp,M609_s051_VISp.tif,325123650,96472633.02866405,9020440,3593700
adult,M609,VISp,M609_s052_VISp.tif,366739857,118779221.29405311,8882640,4325760
adult,M609,VISp,M609_s053_VISp.tif,429504569,136062771.55168924,7925280,3987560
adult,M609,VISp,M609_s055_VISp.tif,306969483,95847802.88455614,8187762,3576121
adult,M609,VISp,M609_s056_VISp.tif,307878965,96721352.20537582,5928342,2754642
adult,M609,VISp,M609_s057_VISp.tif,349682579,110081852.88345075,6302662,2899340
adult,M609,VISp,M609_s058_VISp.tif,301833456,99503918.39442743,6302621,2518141
adult,M609,VISpm,M609_s010_VISpm.tif,4271358,1353809.8838138995,2557940,999043
adult,M609,VISpm,M609_s011_VISpm.tif,2089367,654767.3165193656,1036000,579200
adult,M609,VISpm,M609_s012_VISpm.tif,9265634,2911756.562204195,1483620,1057680
adult,M609,VISpm,M609_s013_VISpm.tif,8992336,2896864.8745931014,1976000,1356800
adult,M609,VISpm,M609_s020_VISpm.tif,3469118,1101372.1471080452,1278400,726000
